,nom,prix,description,composition,conseils_de_lavage,url
10,Robe courte brodée SABRINA en Lin - Blanc,"178,00€","
Robe courte évasée sans manches en Lin moyen lavé - Blanche
- Décolleté bateau
- Broderie dentelée sur le décolleté et les emmanchures
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2251-9708-robe-courte-brodee-sabrina-lin-moyen-blanc.html#/143-taille-34
11,Robe courte brodée SABRINA en Lin - Blanc,"178,00€","
Robe courte évasée sans manches en Lin moyen lavé - Blanche
- Décolleté bateau
- Broderie dentelée sur le décolleté et les emmanchures
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2251-9708-robe-courte-brodee-sabrina-lin-moyen-blanc.html#/143-taille-34
12,Robe tunique SAKURA en Lin - Noir,"198,00€","
Robe tunique ample style poncho en Lin lavé - Noir
- Décolleté rond ouvert en V, fermé par un bouton doré
- Bas de manche volanté
- Fronces mi-poitrine
- Poches cachées dans les coutures
- Lien ajustable au dos - Longueur genoux
",100% Gaze de Lin (85g/m2),"['Entretien :', '- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2364-10461-robe-tunique-style-poncho-sakura-gaze-lin-noire.html#/141-taille-s
13,Robe tunique SAKURA en Lin - Noir,"198,00€","
Robe tunique ample style poncho en Lin lavé - Noir
- Décolleté rond ouvert en V, fermé par un bouton doré
- Bas de manche volanté
- Fronces mi-poitrine
- Poches cachées dans les coutures
- Lien ajustable au dos - Longueur genoux
",100% Gaze de Lin (85g/m2),"['Entretien :', '- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2364-10461-robe-tunique-style-poncho-sakura-gaze-lin-noire.html#/141-taille-s
14,Robe maxi nouée épaule SHIRLEY en Lin - Noir,"168,00€","
Robe longue à bretelle nouée sur l'épaule en Gaze de Lin - Noir
- Emmanchure Américaine
- Fronces devant et dos
- Poches dans les coutures côté
- Fentes cotés
- Longueur cheville
",100% Gaze de Lin (85g/m2),"['Entretien :', '- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2382-10550-robe-longue-nouee-shirley-gaze-lin-noire.html#/140-taille-xs
15,Robe maxi nouée épaule SHIRLEY en Lin - Noir,"168,00€","
Robe longue à bretelle nouée sur l'épaule en Gaze de Lin - Noir
- Emmanchure Américaine
- Fronces devant et dos
- Poches dans les coutures côté
- Fentes cotés
- Longueur cheville
",100% Gaze de Lin (85g/m2),"['Entretien :', '- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2382-10550-robe-longue-nouee-shirley-gaze-lin-noire.html#/140-taille-xs
16,Robe midi sans manches MARIE en Lin imprimé - Sienne,"244,00€","
Robe sans manche iconique en gaze de Lin lavée - Sienne
- Décolleté V
- Plis religieux sur le buste
- Poches cotés cachées dans les coutures
- Longueur midi
- Imprimé Exclusif ""Louise"" fait en France
",100% Gaze de Lin (85g/m2) imprimée et lavée,"['- Laver en machine maximum 40° avec un essorage doux', '- Il est conseillé de faire sécher votre vêtement sur un cintre et de ne pas le repasser pour éviter de lui enlever son aspect froissé naturel', '- À chaque lavage votre chemise sera de plus en plus douce']",https://zyga.fr/Robes-femme-lin-printemps-ete/2432-10798-robe-midi-sans-manches-marie-gaze-lin-imprime-terre-sienne.html#/141-taille-s
17,Robe midi sans manches MARIE en Lin imprimé - Sienne,"244,00€","
Robe sans manche iconique en gaze de Lin lavée - Sienne
- Décolleté V
- Plis religieux sur le buste
- Poches cotés cachées dans les coutures
- Longueur midi
- Imprimé Exclusif ""Louise"" fait en France
",100% Gaze de Lin (85g/m2) imprimée et lavée,"['- Laver en machine maximum 40° avec un essorage doux', '- Il est conseillé de faire sécher votre vêtement sur un cintre et de ne pas le repasser pour éviter de lui enlever son aspect froissé naturel', '- À chaque lavage votre chemise sera de plus en plus douce']",https://zyga.fr/Robes-femme-lin-printemps-ete/2432-10798-robe-midi-sans-manches-marie-gaze-lin-imprime-terre-sienne.html#/141-taille-s
18,Robe midi sans manches MARIE en Lin - Orange,"158,00€","
Robe sans manche iconique en gaze de Lin lavée - Orange
- Décolleté V
- Plis religieux sur le buste
- Poches cotés cachées dans les coutures
- Longueur midi
",100% Gaze de Lin (85g/m2),"['Entretien :', '- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2348-10375-robe-midi-sans-manches-marie-gaze-lin-orange.html#/141-taille-s
19,Robe midi sans manches MARIE en Lin - Orange,"158,00€","
Robe sans manche iconique en gaze de Lin lavée - Orange
- Décolleté V
- Plis religieux sur le buste
- Poches cotés cachées dans les coutures
- Longueur midi
",100% Gaze de Lin (85g/m2),"['Entretien :', '- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2348-10375-robe-midi-sans-manches-marie-gaze-lin-orange.html#/141-taille-s
20,Robe midi ample SUMMER en Lin imprimé - Dragée,"248,00€","
Robe midi ample en gaze de Lin imprimée - Rose Dragée
- Décolleté V
- Manches au dessus des coudes
- Fronces au niveau de la taille sur l'avant et le dos
- Poches italiennes
- Imprimé exclusif ""Helen"" fait en Italie
",100% Gaze de Lin (85g/m2),"['- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2445-10869-robe-ample-midi-summer-gaze-lin-imprimee-rose-dragee.html#/143-taille-34
21,Robe midi ample SUMMER en Lin imprimé - Dragée,"248,00€","
Robe midi ample en gaze de Lin imprimée - Rose Dragée
- Décolleté V
- Manches au dessus des coudes
- Fronces au niveau de la taille sur l'avant et le dos
- Poches italiennes
- Imprimé exclusif ""Helen"" fait en Italie
",100% Gaze de Lin (85g/m2),"['- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2445-10869-robe-ample-midi-summer-gaze-lin-imprimee-rose-dragee.html#/143-taille-34
22,Robe midi ample SUMMER en Lin imprimé - Sienne,"248,00€","
Robe midi ample en gaze de Lin imprimée - Sienne
- Décolleté V
- Manches au dessus des coudes
- Fronces au niveau de la taille sur l'avant et le dos
- Poches italiennes
- Imprimé exclusif ""Louise"" fait en France
",100% Gaze de Lin (85g/m2) imprimée et lavée,"['- Laver en machine maximum 40° avec un essorage doux', '- Il est conseillé de faire sécher votre vêtement sur un cintre et de ne pas le repasser pour éviter de lui enlever son aspect froissé naturel', '- À chaque lavage votre chemise sera de plus en plus douce']",https://zyga.fr/Robes-femme-lin-printemps-ete/2434-10810-robe-ample-midi-summer-gaze-lin-imprimee-terre-sienne.html#/143-taille-34
23,Robe midi ample SUMMER en Lin imprimé - Sienne,"248,00€","
Robe midi ample en gaze de Lin imprimée - Sienne
- Décolleté V
- Manches au dessus des coudes
- Fronces au niveau de la taille sur l'avant et le dos
- Poches italiennes
- Imprimé exclusif ""Louise"" fait en France
",100% Gaze de Lin (85g/m2) imprimée et lavée,"['- Laver en machine maximum 40° avec un essorage doux', '- Il est conseillé de faire sécher votre vêtement sur un cintre et de ne pas le repasser pour éviter de lui enlever son aspect froissé naturel', '- À chaque lavage votre chemise sera de plus en plus douce']",https://zyga.fr/Robes-femme-lin-printemps-ete/2434-10810-robe-ample-midi-summer-gaze-lin-imprimee-terre-sienne.html#/143-taille-34
24,Robe midi sans manches MARIE en Lin imprimé - Encre,"244,00€","
Robe sans manche iconique en gaze de Lin lavée imprimée - Bleu Encre
- Décolleté V
- Plis religieux sur le buste
- Poches côtés cachées dans les coutures
- Longueur midi
- Imprimé exclusif ""Georgia"" fait en Italie
",100% Gaze de Lin (85g/m2),"['- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2448-10878-robe-midi-sans-manches-marie-gaze-lin-imprime-bleu-encre.html#/141-taille-s
25,Robe midi sans manches MARIE en Lin imprimé - Encre,"244,00€","
Robe sans manche iconique en gaze de Lin lavée imprimée - Bleu Encre
- Décolleté V
- Plis religieux sur le buste
- Poches côtés cachées dans les coutures
- Longueur midi
- Imprimé exclusif ""Georgia"" fait en Italie
",100% Gaze de Lin (85g/m2),"['- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2448-10878-robe-midi-sans-manches-marie-gaze-lin-imprime-bleu-encre.html#/141-taille-s
26,Robe maxi nouée épaule SHIRLEY en Lin imprimé - Encre,"244,00€","
Robe longue à bretelle nouée sur l'épaule en gaze de Lin imprimée - Bleu Encre
- Emmanchure Américaine
- Fronces devant et dos
- Poches dans les coutures côté
- Fentes cotés
- Longueur cheville
- Imprimé exclusif Georgia fait en Italie
",100% Gaze de Lin (85g/m2),"['- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2452-10902-robe-longue-nouee-shirley-gaze-lin-imprimee-bleu-encre.html#/140-taille-xs
27,Robe maxi nouée épaule SHIRLEY en Lin imprimé - Encre,"244,00€","
Robe longue à bretelle nouée sur l'épaule en gaze de Lin imprimée - Bleu Encre
- Emmanchure Américaine
- Fronces devant et dos
- Poches dans les coutures côté
- Fentes cotés
- Longueur cheville
- Imprimé exclusif Georgia fait en Italie
",100% Gaze de Lin (85g/m2),"['- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2452-10902-robe-longue-nouee-shirley-gaze-lin-imprimee-bleu-encre.html#/140-taille-xs
28,T-shirt manches courtes STAR en maille de Lin imprimée - Dragée,"98,00 €","
T-shirt manches courtes en jersey de Lin avec imprimé - Rose Dragée
- Col V avec détails de surpiqûres zig-zag en lurex argenté
- Motif floral
",100% Jersey de Lin,"['- Nous vous conseillons de laver votre tee-shirt en machine maximum à 30° avec un essorage doux', '- Si possible le mettre dans un filet pour le protéger des griffes de la machine à laver et éviter les trous', ""- Repasser à l'envers avec un fer chaud (2 points).""]",https://zyga.fr/nouveautes/2475-11064-t-shirt-manches-courtes-star-jersey-lin-imprime-rose-dragee.html#/140-taille-xs
29,T-shirt manches courtes STAR en maille de Lin imprimée - Dragée,"98,00 €","
T-shirt manches courtes en jersey de Lin avec imprimé - Rose Dragée
- Col V avec détails de surpiqûres zig-zag en lurex argenté
- Motif floral
",100% Jersey de Lin,"['- Nous vous conseillons de laver votre tee-shirt en machine maximum à 30° avec un essorage doux', '- Si possible le mettre dans un filet pour le protéger des griffes de la machine à laver et éviter les trous', ""- Repasser à l'envers avec un fer chaud (2 points).""]",https://zyga.fr/nouveautes/2475-11064-t-shirt-manches-courtes-star-jersey-lin-imprime-rose-dragee.html#/140-taille-xs
30,Robe chemise ceinturée SIBYLLE en Lin  - Encre,"218,00€","

Robe chemise droite ceinturée à manches courtes en Lin moyen lavé - Bleu Encre
- Décolleté rond légèrement ouvert en V
- Manches larges finies par un ourlet
- Grandes poches plaquée boutonnées avant
- 2 poches poitrine passepoilées boutonnées sur détail plissé - Surpiqûres assorties
- Longueur sous genoux
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2486-11120-robe-chemise-ceinturee-sibylle-lin-moyen-bleu-encre.html#/143-taille-34
31,Robe chemise ceinturée SIBYLLE en Lin  - Encre,"218,00€","

Robe chemise droite ceinturée à manches courtes en Lin moyen lavé - Bleu Encre
- Décolleté rond légèrement ouvert en V
- Manches larges finies par un ourlet
- Grandes poches plaquée boutonnées avant
- 2 poches poitrine passepoilées boutonnées sur détail plissé - Surpiqûres assorties
- Longueur sous genoux
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2486-11120-robe-chemise-ceinturee-sibylle-lin-moyen-bleu-encre.html#/143-taille-34
32,Robe évasée SONIA en Lin - Régate,"168,00€","
Robe évasée en Lin Léger lavé - Bleu Régate
- Col rond froncé, ouvert en V
- Manches bouffantes aux coudes
- Longueur genoux
- Poches cotés cachées dans les coutures
- Liserés contrastés
- Large pli d'aisance dans le dos
",100% Lin Léger (135g/m²),"['Entretien :', '- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira.""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2322-10196-robe-evasee-manches-bouffantes-sonia-gaze-lin-bleu-regate.html#/143-taille-34
33,Robe évasée SONIA en Lin - Régate,"168,00€","
Robe évasée en Lin Léger lavé - Bleu Régate
- Col rond froncé, ouvert en V
- Manches bouffantes aux coudes
- Longueur genoux
- Poches cotés cachées dans les coutures
- Liserés contrastés
- Large pli d'aisance dans le dos
",100% Lin Léger (135g/m²),"['Entretien :', '- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira.""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2322-10196-robe-evasee-manches-bouffantes-sonia-gaze-lin-bleu-regate.html#/143-taille-34
34,Robe midi ample SUMMER en Lin - Régate,"178,00€","
Robe midi ample en gaze de Lin - Bleu Régate
- Décolleté V
- Manches au-dessus des coudes
- Fronces au niveau de la taille sur l'avant et le dos
- Poches italiennes
",100% Gaze de Lin (85g/m2),"['Entretien :', '- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2376-10520-robe-ample-midi-summer-gaze-lin-bleu-regate.html#/143-taille-34
35,Robe midi ample SUMMER en Lin - Régate,"178,00€","
Robe midi ample en gaze de Lin - Bleu Régate
- Décolleté V
- Manches au-dessus des coudes
- Fronces au niveau de la taille sur l'avant et le dos
- Poches italiennes
",100% Gaze de Lin (85g/m2),"['Entretien :', '- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2376-10520-robe-ample-midi-summer-gaze-lin-bleu-regate.html#/143-taille-34
36,Veste de travail SERGE en Lin - Régate,"204,00€","
Veste de travail en Lin Moyen Lavé - Bleu Régate
- Col chemise classique
- Deux poches plaquées
- Une poche poitrine plaqué côté gauche
- Une poche poitrine intérieure côté droit
- Manches longues
- Poignet boutonné
- Surpiqûre ton sur ton
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/vestes-blazers-femme-lin-printemps-ete/2277-11133-veste-travail-homme-serge-lin-moyen-bleu-regate.html#/143-taille-34
37,Veste de travail SERGE en Lin - Régate,"204,00€","
Veste de travail en Lin Moyen Lavé - Bleu Régate
- Col chemise classique
- Deux poches plaquées
- Une poche poitrine plaqué côté gauche
- Une poche poitrine intérieure côté droit
- Manches longues
- Poignet boutonné
- Surpiqûre ton sur ton
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/vestes-blazers-femme-lin-printemps-ete/2277-11133-veste-travail-homme-serge-lin-moyen-bleu-regate.html#/143-taille-34
38,T-shirt manches courtes STAR en maille de Lin imprimée - Blanc,"98,00 €","
T-shirt manches courtes en jersey de Lin avec imprimé - Blanc
- Col V avec détails de surpiqûres zig-zag en lurex argenté
- Motif floral
",100% Jersey de Lin,"['- Nous vous conseillons de laver votre tee-shirt en machine maximum à 30° avec un essorage doux', '- Si possible le mettre dans un filet pour le protéger des griffes de la machine à laver et éviter les trous', ""- Repasser à l'envers avec un fer chaud (2 points).""]",https://zyga.fr/nouveautes/2474-11059-t-shirt-manches-courtes-star-jersey-lin-imprime-blanc.html#/140-taille-xs
39,T-shirt manches courtes STAR en maille de Lin imprimée - Blanc,"98,00 €","
T-shirt manches courtes en jersey de Lin avec imprimé - Blanc
- Col V avec détails de surpiqûres zig-zag en lurex argenté
- Motif floral
",100% Jersey de Lin,"['- Nous vous conseillons de laver votre tee-shirt en machine maximum à 30° avec un essorage doux', '- Si possible le mettre dans un filet pour le protéger des griffes de la machine à laver et éviter les trous', ""- Repasser à l'envers avec un fer chaud (2 points).""]",https://zyga.fr/nouveautes/2474-11059-t-shirt-manches-courtes-star-jersey-lin-imprime-blanc.html#/140-taille-xs
40,Top brodé SOLEDAD en Lin - Encre,"168,00€","
Top débardeur en Lin moyen lavé - Bleu Encre
- Décolleté bateau
- Emmanchure et décolleté broderie dentelée
- Fentes côté bas
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/Chemises-tops-femme-lin-printemps-ete/2215-9437-top-debardeur-brode-dentelle-lin-moyen-soledad-bleu-encre.html#/143-taille-34
41,Top brodé SOLEDAD en Lin - Encre,"168,00€","
Top débardeur en Lin moyen lavé - Bleu Encre
- Décolleté bateau
- Emmanchure et décolleté broderie dentelée
- Fentes côté bas
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/Chemises-tops-femme-lin-printemps-ete/2215-9437-top-debardeur-brode-dentelle-lin-moyen-soledad-bleu-encre.html#/143-taille-34
42,Robe droite SABINE en Lin - Piment,"168,00€","
Robe coupe droite en Lin Moyen lavé - Rouge Piment
- Décolleté V
- Manche longueur coude
- Poches cotés cachées par la couture
- Longueur genoux
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2248-9684-robe-droite-decollete-v-sabine-lin-moyen-rouge-piment.html#/143-taille-34
43,Robe droite SABINE en Lin - Piment,"168,00€","
Robe coupe droite en Lin Moyen lavé - Rouge Piment
- Décolleté V
- Manche longueur coude
- Poches cotés cachées par la couture
- Longueur genoux
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2248-9684-robe-droite-decollete-v-sabine-lin-moyen-rouge-piment.html#/143-taille-34
44,Pantalon carotte NIELS en Lin - Sienne,"138,00€","

Pantalon coupe carotte en Lin Moyen lavé - Sienne
- Ceinture élastiqué coté et dos
- Poches italiennes
- Poche arrière passepoilée
- Passants pour ceinture
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/pantalons-shorts-femme-lin-printemps-ete/2232-9566-pantalon-coupe-carotte-niels-lin-moyen-terre-siennen.html#/143-taille-34
